totalFlips,clauses,tries,cb,ratio,flips,earlyRestarts,variables,lastRunEntropy,sat,entropy,flipsPerSecond
42629,2000,2,1.5000,4.0000,17629,0,500,0.9630,1,0.9625,37284.5963
6569,2000,1,1.5000,4.0000,6569,0,500,0.9565,1,0.9565,107582.2572
13160,2000,1,1.5000,4.0000,13160,0,500,0.9520,1,0.9520,66823.1077
5481,2000,1,1.5000,4.0000,5481,0,500,0.9413,1,0.9413,122149.1762
233072,2000,10,1.5000,4.0000,8072,0,500,0.9568,1,0.9669,25828.4093
24166,2000,1,1.5000,4.0000,24166,0,500,0.9649,1,0.9649,46256.8803
21913,2000,1,1.5000,4.0000,21913,0,500,0.9694,1,0.9694,50020.0911
13865,2000,1,1.5000,4.0000,13865,0,500,0.9635,1,0.9635,61736.6551
18457,2000,1,1.5000,4.0000,18457,0,500,0.9596,1,0.9596,53949.0619
7250000,2000,29,1.5000,4.0000,25000,0,500,0.9768,0,0.9381,24080.4671
38426,2000,2,1.5000,4.0000,13426,0,500,0.9638,1,0.9669,37817.4790
5876,2000,1,1.5000,4.0000,5876,0,500,0.9551,1,0.9551,117672.8545
16517,2000,1,1.5000,4.0000,16517,0,500,0.9695,1,0.9695,58770.1378
28362,2000,2,1.5000,4.0000,3362,0,500,0.9240,1,0.9449,43522.9131
7250000,2000,29,1.5000,4.0000,25000,0,500,0.9669,0,0.9356,24157.0117
9250,2000,1,1.5000,4.0000,9250,0,500,0.9499,1,0.9499,83848.6235
598922,2000,24,1.5000,4.0000,23922,0,500,0.9695,1,0.9713,25285.7804
35201,2000,2,1.5000,4.0000,10201,0,500,0.9567,1,0.9634,42056.7240
96796,2000,4,1.5000,4.0000,21796,0,500,0.9699,1,0.9690,29272.7906
30316,2000,2,1.5000,4.0000,5316,0,500,0.9338,1,0.9507,42015.0373
567483,2000,23,1.5000,4.0000,17483,0,500,0.9685,1,0.9715,24486.9013
12758,2000,1,1.5000,4.0000,12758,0,500,0.9567,1,0.9567,67243.9574
22432,2000,1,1.5000,4.0000,22432,0,500,0.9698,1,0.9698,48367.8277
6926,2000,1,1.5000,4.0000,6926,0,500,0.9439,1,0.9439,103198.8735
113565,2000,5,1.5000,4.0000,13565,0,500,0.9669,1,0.9700,28517.0813
309691,2000,13,1.5000,4.0000,9691,0,500,0.9627,1,0.9686,25327.8462
109829,2000,5,1.5000,4.0000,9829,0,500,0.9451,1,0.9611,28768.0735
11580,2000,1,1.5000,4.0000,11580,0,500,0.9584,1,0.9584,72672.4335
72172,2000,3,1.5000,4.0000,22172,0,500,0.9655,1,0.9696,31277.1376
10900,2000,1,1.5000,4.0000,10900,0,500,0.9395,1,0.9395,74602.3108
9025,2000,1,1.5000,4.0000,9025,0,500,0.9501,1,0.9501,84398.5984
169427,2000,7,1.5000,4.0000,19427,0,500,0.9711,1,0.9748,26771.6645
5833,2000,1,1.5000,4.0000,5833,0,500,0.9523,1,0.9523,115676.0887
7500000,2000,30,1.5000,4.0000,25000,0,500,0.9707,0,0.9397,24382.0787
6938,2000,1,1.5000,4.0000,6938,0,500,0.9508,1,0.9508,102262.8460
6673,2000,1,1.5000,4.0000,6673,0,500,0.9480,1,0.9480,105200.9571
12268,2000,1,1.5000,4.0000,12268,0,500,0.9652,1,0.9652,70078.4074
10249,2000,1,1.5000,4.0000,10249,0,500,0.9521,1,0.9521,78428.5028
21761,2000,1,1.5000,4.0000,21761,0,500,0.9645,1,0.9645,50006.5397
9817,2000,1,1.5000,4.0000,9817,0,500,0.9652,1,0.9652,75408.6545
14486,2000,1,1.5000,4.0000,14486,0,500,0.9571,1,0.9571,62973.7923
23775,2000,1,1.5000,4.0000,23775,0,500,0.9652,1,0.9652,48061.0800
233812,2000,10,1.5000,4.0000,8812,0,500,0.9514,1,0.9686,25720.1206
7500000,2000,30,1.5000,4.0000,25000,0,500,0.9716,0,0.9392,24441.7064
47082,2000,2,1.5000,4.0000,22082,0,500,0.9705,1,0.9711,38168.5321
79662,2000,4,1.5000,4.0000,4662,0,500,0.9478,1,0.9603,32198.6776
29343,2000,2,1.5000,4.0000,4343,0,500,0.9346,1,0.9469,42924.3450
378715,2000,16,1.5000,4.0000,3715,0,500,0.9408,1,0.9661,24823.4263
521338,2000,21,1.5000,4.0000,21338,0,500,0.9675,1,0.9690,25047.4869
314828,2000,13,1.5000,4.0000,14828,0,500,0.9568,1,0.9641,26883.9524
347801,2000,14,1.5000,4.0000,22801,0,500,0.9664,1,0.9719,25207.3206
121431,2000,5,1.5000,4.0000,21431,0,500,0.9708,1,0.9707,28350.5823
13898,2000,1,1.5000,4.0000,13898,0,500,0.9645,1,0.9645,64717.2185
7500000,2000,30,1.5000,4.0000,25000,0,500,0.9706,0,0.9373,24876.1258
10376,2000,1,1.5000,4.0000,10376,0,500,0.9602,1,0.9602,78501.2361
4281,2000,1,1.5000,4.0000,4281,0,500,0.9456,1,0.9456,145710.3379
62549,2000,3,1.5000,4.0000,12549,0,500,0.9662,1,0.9693,32875.3395
6072,2000,1,1.5000,4.0000,6072,0,500,0.9597,1,0.9597,113429.8159
371752,2000,15,1.5000,4.0000,21752,0,500,0.9682,1,0.9691,24955.0974
46149,2000,2,1.5000,4.0000,21149,0,500,0.9689,1,0.9677,36228.0563
179557,2000,8,1.5000,4.0000,4557,0,500,0.9423,1,0.9673,27189.9550
57757,2000,3,1.5000,4.0000,7757,0,500,0.9635,1,0.9702,34008.2157
31714,2000,2,1.5000,4.0000,6714,0,500,0.9601,1,0.9674,41728.6870
34841,2000,2,1.5000,4.0000,9841,0,500,0.9566,1,0.9600,39062.3872
4200,2000,1,1.5000,4.0000,4200,0,500,0.9302,1,0.9302,148195.5304
14602,2000,1,1.5000,4.0000,14602,0,500,0.9632,1,0.9632,63625.4014
7500000,2000,30,1.5000,4.0000,25000,0,500,0.9721,0,0.9393,24459.0437
8000000,2000,32,1.5000,4.0000,25000,0,500,0.9737,0,0.9419,26296.4686
20688,2000,1,1.5000,4.0000,20688,0,500,0.9672,1,0.9672,57513.6600
16175,2000,1,1.5000,4.0000,16175,0,500,0.9628,1,0.9628,64992.8148
7500000,2000,30,1.5000,4.0000,25000,0,500,0.9705,0,0.9392,24930.9973
723961,2000,29,1.5000,4.0000,23961,0,500,0.9674,1,0.9700,26443.2504
146516,2000,6,1.5000,4.0000,21516,0,500,0.9668,1,0.9670,29673.3595
11085,2000,1,1.5000,4.0000,11085,0,500,0.9493,1,0.9493,79751.0484
14230,2000,1,1.5000,4.0000,14230,0,500,0.9590,1,0.9590,63227.3525
39178,2000,2,1.5000,4.0000,14178,0,500,0.9555,1,0.9625,37720.3720
7500000,2000,30,1.5000,4.0000,25000,0,500,0.9730,0,0.9354,24615.4337
43052,2000,2,1.5000,4.0000,18052,0,500,0.9697,1,0.9698,38627.6739
686359,2000,28,1.5000,4.0000,11359,0,500,0.9608,1,0.9707,24835.7929
59476,2000,3,1.5000,4.0000,9476,0,500,0.9651,1,0.9665,34342.7293
6354,2000,1,1.5000,4.0000,6354,0,500,0.9534,1,0.9534,112878.7060
23166,2000,1,1.5000,4.0000,23166,0,500,0.9599,1,0.9599,51905.2324
37130,2000,2,1.6000,4.0000,12130,0,500,0.9516,1,0.9577,37743.5602
24611,2000,1,1.6000,4.0000,24611,0,500,0.9536,1,0.9536,47263.6734
7235,2000,1,1.6000,4.0000,7235,0,500,0.9443,1,0.9443,94891.7576
335482,2000,14,1.6000,4.0000,10482,0,500,0.9509,1,0.9694,25149.7553
87090,2000,4,1.6000,4.0000,12090,0,500,0.9603,1,0.9657,29968.2517
3418,2000,1,1.6000,4.0000,3418,0,500,0.9391,1,0.9391,175177.4736
149584,2000,6,1.6000,4.0000,24584,0,500,0.9694,1,0.9699,27119.5192
9979,2000,1,1.6000,4.0000,9979,0,500,0.9416,1,0.9416,79690.9968
2635,2000,1,1.6000,4.0000,2635,0,500,0.9290,1,0.9290,211102.4337
7375,2000,1,1.6000,4.0000,7375,0,500,0.9461,1,0.9461,97719.7566
449645,2000,18,1.6000,4.0000,24645,0,500,0.9650,1,0.9687,24539.8371
12863,2000,1,1.6000,4.0000,12863,0,500,0.9423,1,0.9423,68178.7937
69232,2000,3,1.6000,4.0000,19232,0,500,0.9620,1,0.9647,31550.3588
8339,2000,1,1.6000,4.0000,8339,0,500,0.9610,1,0.9610,88268.7245
103681,2000,5,1.6000,4.0000,3681,0,500,0.9244,1,0.9611,28941.7751
470580,2000,19,1.6000,4.0000,20580,0,500,0.9593,1,0.9685,24611.2848
4962,2000,1,1.6000,4.0000,4962,0,500,0.9462,1,0.9462,128654.1262
7500000,2000,30,1.6000,4.0000,25000,0,500,0.9720,0,0.9375,24312.6824
87235,2000,4,1.6000,4.0000,12235,0,500,0.9507,1,0.9634,30135.9231
6243,2000,1,1.6000,4.0000,6243,0,500,0.9436,1,0.9436,111440.4820
19155,2000,1,1.6000,4.0000,19155,0,500,0.9515,1,0.9515,52446.2158
33297,2000,2,1.6000,4.0000,8297,0,500,0.9518,1,0.9590,40114.4692
8306,2000,1,1.6000,4.0000,8306,0,500,0.9523,1,0.9523,90326.2383
35369,2000,2,1.6000,4.0000,10369,0,500,0.9596,1,0.9652,39077.2338
7148,2000,1,1.6000,4.0000,7148,0,500,0.9534,1,0.9534,95361.4958
7500000,2000,30,1.6000,4.0000,25000,0,500,0.9700,0,0.9392,24260.3703
489960,2000,20,1.6000,4.0000,14960,0,500,0.9600,1,0.9655,24620.2652
4612,2000,1,1.6000,4.0000,4612,0,500,0.9423,1,0.9423,139847.4424
7698,2000,1,1.6000,4.0000,7698,0,500,0.9262,1,0.9262,93985.7706
11754,2000,1,1.6000,4.0000,11754,0,500,0.9552,1,0.9552,72248.7511
13082,2000,1,1.6000,4.0000,13082,0,500,0.9531,1,0.9531,66091.3331
53705,2000,3,1.6000,4.0000,3705,0,500,0.9440,1,0.9554,33982.3457
61160,2000,3,1.6000,4.0000,11160,0,500,0.9539,1,0.9655,32070.5654
61176,2000,3,1.6000,4.0000,11176,0,500,0.9566,1,0.9621,32569.2808
4780,2000,1,1.6000,4.0000,4780,0,500,0.9472,1,0.9472,133688.3616
13912,2000,1,1.6000,4.0000,13912,0,500,0.9608,1,0.9608,62441.7298
15710,2000,1,1.6000,4.0000,15710,0,500,0.9623,1,0.9623,60413.9693
280285,2000,12,1.6000,4.0000,5285,0,500,0.9415,1,0.9618,25468.0521
7045,2000,1,1.6000,4.0000,7045,0,500,0.9354,1,0.9354,102760.3839
191501,2000,8,1.6000,4.0000,16501,0,500,0.9656,1,0.9651,26669.5808
57400,2000,3,1.6000,4.0000,7400,0,500,0.9537,1,0.9598,32949.2377
142515,2000,6,1.6000,4.0000,17515,0,500,0.9676,1,0.9696,27788.8499
179592,2000,8,1.6000,4.0000,4592,0,500,0.9400,1,0.9620,26634.3930
192787,2000,8,1.6000,4.0000,17787,0,500,0.9681,1,0.9729,26418.9300
24290,2000,1,1.6000,4.0000,24290,0,500,0.9601,1,0.9601,47224.6403
6230,2000,1,1.6000,4.0000,6230,0,500,0.9538,1,0.9538,111564.8897
110677,2000,5,1.6000,4.0000,10677,0,500,0.9614,1,0.9619,28764.0995
16069,2000,1,1.6000,4.0000,16069,0,500,0.9645,1,0.9645,59215.6000
23232,2000,1,1.6000,4.0000,23232,0,500,0.9563,1,0.9563,47718.2413
180855,2000,8,1.6000,4.0000,5855,0,500,0.9512,1,0.9614,26677.9514
27336,2000,2,1.6000,4.0000,2336,0,500,0.9214,1,0.9407,44338.4928
8904,2000,1,1.6000,4.0000,8904,0,500,0.9518,1,0.9518,86756.6970
43741,2000,2,1.6000,4.0000,18741,0,500,0.9617,1,0.9624,35900.1292
71953,2000,3,1.6000,4.0000,21953,0,500,0.9544,1,0.9592,31680.5984
9583,2000,1,1.6000,4.0000,9583,0,500,0.9550,1,0.9550,82214.2189
422817,2000,17,1.6000,4.0000,22817,0,500,0.9635,1,0.9699,24893.1396
9473,2000,1,1.6000,4.0000,9473,0,500,0.9459,1,0.9459,79019.2221
94912,2000,4,1.6000,4.0000,19912,0,500,0.9557,1,0.9616,29587.6689
47244,2000,2,1.6000,4.0000,22244,0,500,0.9661,1,0.9655,35578.7550
3797,2000,1,1.6000,4.0000,3797,0,500,0.9230,1,0.9230,161414.2426
5860,2000,1,1.6000,4.0000,5860,0,500,0.9502,1,0.9502,110208.9480
339363,2000,14,1.6000,4.0000,14363,0,500,0.9617,1,0.9691,25120.3371
9655,2000,1,1.6000,4.0000,9655,0,500,0.9543,1,0.9543,82373.7591
199568,2000,8,1.6000,4.0000,24568,0,500,0.9720,1,0.9723,26539.1491
180001,2000,8,1.6000,4.0000,5001,0,500,0.9532,1,0.9661,26524.5661
354642,2000,15,1.6000,4.0000,4642,0,500,0.9394,1,0.9671,25180.2642
7500000,2000,30,1.6000,4.0000,25000,0,500,0.9733,0,0.9429,24693.9237
20997,2000,1,1.6000,4.0000,20997,0,500,0.9593,1,0.9593,54962.1373
111696,2000,5,1.6000,4.0000,11696,0,500,0.9586,1,0.9637,28175.3909
5515,2000,1,1.6000,4.0000,5515,0,500,0.9469,1,0.9469,121133.7435
6151,2000,1,1.6000,4.0000,6151,0,500,0.9300,1,0.9300,111607.3912
6247,2000,1,1.6000,4.0000,6247,0,500,0.9546,1,0.9546,110169.6997
7250000,2000,29,1.6000,4.0000,25000,0,500,0.9663,0,0.9364,24147.7581
182129,2000,8,1.6000,4.0000,7129,0,500,0.9573,1,0.9725,26771.1756
258539,2000,11,1.6000,4.0000,8539,0,500,0.9572,1,0.9613,25700.8030
6892,2000,1,1.6000,4.0000,6892,0,500,0.9427,1,0.9427,108932.9358
5557,2000,1,1.6000,4.0000,5557,0,500,0.9478,1,0.9478,120163.7625
7950,2000,1,1.6000,4.0000,7950,0,500,0.9429,1,0.9429,93862.3838
166058,2000,7,1.6000,4.0000,16058,0,500,0.9663,1,0.9714,27045.0476
15830,2000,1,1.6000,4.0000,15830,0,500,0.9578,1,0.9578,60372.5475
89511,2000,4,1.6000,4.0000,14511,0,500,0.9693,1,0.9683,30243.2738
118204,2000,5,1.6000,4.0000,18204,0,500,0.9663,1,0.9698,28692.0781
87393,2000,4,1.6000,4.0000,12393,0,500,0.9502,1,0.9611,30146.0336
48910,2000,2,1.6000,4.0000,23910,0,500,0.9641,1,0.9652,35565.6041
63673,2000,3,1.6000,4.0000,13673,0,500,0.9665,1,0.9684,32028.4016
24232,2000,1,1.6000,4.0000,24232,0,500,0.9679,1,0.9679,47200.5647
31749,2000,2,1.6000,4.0000,6749,0,500,0.9459,1,0.9548,40856.4201
18313,2000,1,1.6000,4.0000,18313,0,500,0.9659,1,0.9659,54990.5858
4158,2000,1,1.6000,4.0000,4158,0,500,0.9274,1,0.9274,152315.9419
6717,2000,1,1.6000,4.0000,6717,0,500,0.9341,1,0.9341,104215.8006
57509,2000,3,1.6000,4.0000,7509,0,500,0.9545,1,0.9613,33855.6546
7500000,2000,30,1.6000,4.0000,25000,0,500,0.9709,0,0.9391,24532.5081
12170,2000,1,1.6000,4.0000,12170,0,500,0.9610,1,0.9610,68197.8275
343303,2000,14,1.6000,4.0000,18303,0,500,0.9615,1,0.9644,25037.9209
65758,2000,3,1.6000,4.0000,15758,0,500,0.9572,1,0.9586,32288.4493
23104,2000,1,1.6000,4.0000,23104,0,500,0.9672,1,0.9672,48086.5278
28869,2000,2,1.6000,4.0000,3869,0,500,0.9398,1,0.9502,43827.9451
49302,2000,2,1.6000,4.0000,24302,0,500,0.9701,1,0.9700,35753.2343
12050,2000,1,1.6000,4.0000,12050,0,500,0.9541,1,0.9541,71431.4438
15331,2000,1,1.6000,4.0000,15331,0,500,0.9612,1,0.9612,60175.7937
9829,2000,1,1.6000,4.0000,9829,0,500,0.9546,1,0.9546,80129.4800
64734,2000,3,1.6000,4.0000,14734,0,500,0.9580,1,0.9606,31910.0533
14237,2000,1,1.6000,4.0000,14237,0,500,0.9574,1,0.9574,61901.0422
