sat,ratio,cb,tries,clauses,flips,variables,entropy,earlyRestarts,totalFlips,flipsPerSecond,lastRunEntropy
0,4.0000,0.0000,30,2000,25000,500,0.9483,0,7500000,24193.0977,0.9803
0,4.0000,0.0000,30,2000,25000,500,0.9504,0,7500000,24299.7697,0.9827
0,4.0000,0.0000,29,2000,25000,500,0.9475,0,7250000,24056.5720,0.9813
0,4.0000,0.0000,29,2000,25000,500,0.9467,0,7250000,24139.0816,0.9808
0,4.0000,0.0000,30,2000,25000,500,0.9501,0,7500000,24321.7076,0.9829
0,4.0000,0.0000,30,2000,25000,500,0.9492,0,7500000,24328.1323,0.9821
0,4.0000,0.0000,30,2000,25000,500,0.9500,0,7500000,24305.7474,0.9818
0,4.0000,0.0000,30,2000,25000,500,0.9479,0,7500000,24153.1148,0.9803
0,4.0000,0.0000,30,2000,25000,500,0.9492,0,7500000,24319.2206,0.9819
0,4.0000,0.0000,30,2000,25000,500,0.9471,0,7500000,24186.1584,0.9800
0,4.0000,0.0000,30,2000,25000,500,0.9502,0,7500000,24327.9836,0.9830
0,4.0000,0.0000,30,2000,25000,500,0.9501,0,7500000,24285.0010,0.9824
0,4.0000,0.0000,30,2000,25000,500,0.9491,0,7500000,24417.1468,0.9830
0,4.0000,0.0000,30,2000,25000,500,0.9461,0,7500000,24175.6579,0.9771
0,4.0000,0.0000,29,2000,25000,500,0.9442,0,7250000,24153.5676,0.9791
0,4.0000,0.0000,30,2000,25000,500,0.9490,0,7500000,24196.2207,0.9819
0,4.0000,0.0000,30,2000,25000,500,0.9483,0,7500000,24430.8745,0.9794
0,4.0000,0.0000,30,2000,25000,500,0.9497,0,7500000,24224.6095,0.9820
0,4.0000,0.0000,30,2000,25000,500,0.9465,0,7500000,24196.2326,0.9790
0,4.0000,0.0000,30,2000,25000,500,0.9487,0,7500000,24152.5190,0.9816
0,4.0000,0.0000,30,2000,25000,500,0.9483,0,7500000,24331.4270,0.9803
0,4.0000,0.0000,32,2000,25000,500,0.9519,0,8000000,26141.5181,0.9824
0,4.0000,0.0000,32,2000,25000,500,0.9515,0,8000000,26264.8324,0.9823
0,4.0000,0.0000,32,2000,25000,500,0.9515,0,8000000,26622.4456,0.9818
0,4.0000,0.0000,32,2000,25000,500,0.9505,0,8000000,26248.0169,0.9813
0,4.0000,0.0000,32,2000,25000,500,0.9504,0,8000000,26060.7048,0.9804
0,4.0000,0.0000,32,2000,25000,500,0.9496,0,8000000,26384.0513,0.9797
0,4.0000,0.0000,32,2000,25000,500,0.9515,0,8000000,26427.5235,0.9834
0,4.0000,0.0000,32,2000,25000,500,0.9495,0,8000000,26304.5314,0.9802
0,4.0000,0.1000,30,2000,25000,500,0.9482,0,7500000,24237.3977,0.9797
0,4.0000,0.1000,30,2000,25000,500,0.9490,0,7500000,24240.6150,0.9814
0,4.0000,0.1000,30,2000,25000,500,0.9485,0,7500000,24324.6541,0.9820
0,4.0000,0.1000,30,2000,25000,500,0.9499,0,7500000,24386.2791,0.9827
0,4.0000,0.1000,30,2000,25000,500,0.9489,0,7500000,24319.7340,0.9826
0,4.0000,0.1000,30,2000,25000,500,0.9474,0,7500000,24238.8002,0.9820
0,4.0000,0.1000,30,2000,25000,500,0.9501,0,7500000,24306.5817,0.9834
0,4.0000,0.1000,30,2000,25000,500,0.9484,0,7500000,24364.9776,0.9811
0,4.0000,0.1000,30,2000,25000,500,0.9494,0,7500000,24240.6991,0.9821
0,4.0000,0.1000,30,2000,25000,500,0.9463,0,7500000,24263.5711,0.9798
0,4.0000,0.1000,30,2000,25000,500,0.9494,0,7500000,24515.2940,0.9833
0,4.0000,0.1000,30,2000,25000,500,0.9472,0,7500000,24206.6338,0.9795
0,4.0000,0.1000,30,2000,25000,500,0.9502,0,7500000,24266.8159,0.9827
0,4.0000,0.1000,30,2000,25000,500,0.9473,0,7500000,24166.4214,0.9801
0,4.0000,0.1000,30,2000,25000,500,0.9498,0,7500000,24258.7578,0.9821
0,4.0000,0.1000,30,2000,25000,500,0.9494,0,7500000,24240.3858,0.9831
0,4.0000,0.1000,30,2000,25000,500,0.9498,0,7500000,24219.1456,0.9824
0,4.0000,0.1000,30,2000,25000,500,0.9492,0,7500000,24377.0762,0.9817
0,4.0000,0.1000,30,2000,25000,500,0.9485,0,7500000,24151.1080,0.9808
0,4.0000,0.1000,30,2000,25000,500,0.9501,0,7500000,24289.4087,0.9821
0,4.0000,0.1000,30,2000,25000,500,0.9485,0,7500000,24140.0749,0.9809
0,4.0000,0.1000,30,2000,25000,500,0.9477,0,7500000,24184.9278,0.9792
0,4.0000,0.1000,30,2000,25000,500,0.9489,0,7500000,24302.1931,0.9813
0,4.0000,0.1000,29,2000,25000,500,0.9479,0,7250000,24111.4938,0.9824
0,4.0000,0.1000,30,2000,25000,500,0.9482,0,7500000,24144.9812,0.9809
0,4.0000,0.1000,29,2000,25000,500,0.9474,0,7250000,24107.5370,0.9819
0,4.0000,0.1000,30,2000,25000,500,0.9465,0,7500000,24151.7988,0.9781
0,4.0000,0.1000,30,2000,25000,500,0.9484,0,7500000,24311.7807,0.9818
0,4.0000,0.1000,29,2000,25000,500,0.9457,0,7250000,24146.3416,0.9780
0,4.0000,0.1000,29,2000,25000,500,0.9467,0,7250000,24088.7683,0.9811
0,4.0000,0.1000,30,2000,25000,500,0.9500,0,7500000,24180.1974,0.9825
0,4.0000,0.1000,30,2000,25000,500,0.9489,0,7500000,24241.1795,0.9819
0,4.0000,0.1000,29,2000,25000,500,0.9451,0,7250000,24076.3566,0.9782
0,4.0000,0.1000,30,2000,25000,500,0.9485,0,7500000,24158.2306,0.9815
0,4.0000,0.1000,30,2000,25000,500,0.9495,0,7500000,24184.6573,0.9823
0,4.0000,0.1000,30,2000,25000,500,0.9491,0,7500000,24369.2528,0.9827
0,4.0000,0.1000,29,2000,25000,500,0.9463,0,7250000,24075.4962,0.9781
0,4.0000,0.1000,29,2000,25000,500,0.9482,0,7250000,24036.4217,0.9817
0,4.0000,0.1000,30,2000,25000,500,0.9486,0,7500000,24215.6449,0.9812
0,4.0000,0.1000,30,2000,25000,500,0.9489,0,7500000,24209.7524,0.9810
0,4.0000,0.1000,30,2000,25000,500,0.9492,0,7500000,24441.1788,0.9808
0,4.0000,0.1000,30,2000,25000,500,0.9491,0,7500000,24310.0214,0.9823
0,4.0000,0.1000,30,2000,25000,500,0.9491,0,7500000,24364.0784,0.9814
0,4.0000,0.1000,30,2000,25000,500,0.9463,0,7500000,24262.6621,0.9777
0,4.0000,0.1000,29,2000,25000,500,0.9466,0,7250000,24166.5824,0.9811
0,4.0000,0.1000,30,2000,25000,500,0.9500,0,7500000,24219.0877,0.9825
0,4.0000,0.1000,30,2000,25000,500,0.9491,0,7500000,24222.5939,0.9813
0,4.0000,0.1000,29,2000,25000,500,0.9480,0,7250000,24161.1445,0.9825
0,4.0000,0.1000,29,2000,25000,500,0.9467,0,7250000,24100.3075,0.9803
0,4.0000,0.1000,29,2000,25000,500,0.9476,0,7250000,24011.6215,0.9815
0,4.0000,0.1000,30,2000,25000,500,0.9478,0,7500000,24200.6048,0.9796
0,4.0000,0.1000,30,2000,25000,500,0.9503,0,7500000,24156.5878,0.9837
0,4.0000,0.1000,30,2000,25000,500,0.9483,0,7500000,24216.0192,0.9805
0,4.0000,0.1000,29,2000,25000,500,0.9462,0,7250000,24136.6434,0.9801
0,4.0000,0.1000,29,2000,25000,500,0.9473,0,7250000,24073.0223,0.9819
0,4.0000,0.1000,30,2000,25000,500,0.9495,0,7500000,24220.2658,0.9819
0,4.0000,0.1000,30,2000,25000,500,0.9494,0,7500000,24285.4594,0.9822
0,4.0000,0.1000,30,2000,25000,500,0.9488,0,7500000,24478.2541,0.9812
0,4.0000,0.1000,30,2000,25000,500,0.9476,0,7500000,24264.9682,0.9813
0,4.0000,0.1000,30,2000,25000,500,0.9471,0,7500000,24463.3408,0.9804
0,4.0000,0.1000,30,2000,25000,500,0.9508,0,7500000,24276.4373,0.9831
0,4.0000,0.1000,30,2000,25000,500,0.9500,0,7500000,24303.2586,0.9825
0,4.0000,0.1000,30,2000,25000,500,0.9470,0,7500000,24166.9758,0.9816
0,4.0000,0.1000,30,2000,25000,500,0.9491,0,7500000,24279.4214,0.9808
0,4.0000,0.1000,30,2000,25000,500,0.9486,0,7500000,24312.4536,0.9818
0,4.0000,0.1000,30,2000,25000,500,0.9485,0,7500000,24157.0403,0.9811
0,4.0000,0.1000,30,2000,25000,500,0.9464,0,7500000,24178.9575,0.9794
0,4.0000,0.1000,30,2000,25000,500,0.9490,0,7500000,24177.9598,0.9826
0,4.0000,0.1000,29,2000,25000,500,0.9469,0,7250000,24060.5951,0.9807
0,4.0000,0.1000,29,2000,25000,500,0.9475,0,7250000,24119.3131,0.9802
0,4.0000,0.1000,29,2000,25000,500,0.9464,0,7250000,24105.0479,0.9807
0,4.0000,0.1000,30,2000,25000,500,0.9494,0,7500000,24195.7418,0.9832
0,4.0000,0.1000,30,2000,25000,500,0.9491,0,7500000,24389.9466,0.9824
0,4.0000,0.1000,30,2000,25000,500,0.9483,0,7500000,24202.3261,0.9813
0,4.0000,0.1000,30,2000,25000,500,0.9478,0,7500000,24383.1315,0.9812
0,4.0000,0.1000,30,2000,25000,500,0.9463,0,7500000,24217.1374,0.9790
0,4.0000,0.1000,30,2000,25000,500,0.9491,0,7500000,24166.4008,0.9816
0,4.0000,0.1000,30,2000,25000,500,0.9501,0,7500000,24379.9246,0.9818
0,4.0000,0.1000,30,2000,25000,500,0.9466,0,7500000,24189.8437,0.9786
0,4.0000,0.1000,30,2000,25000,500,0.9506,0,7500000,24367.8366,0.9827
0,4.0000,0.1000,29,2000,25000,500,0.9464,0,7250000,24142.6187,0.9804
0,4.0000,0.1000,30,2000,25000,500,0.9499,0,7500000,24146.3604,0.9837
0,4.0000,0.1000,29,2000,25000,500,0.9479,0,7250000,24066.7032,0.9818
0,4.0000,0.1000,30,2000,25000,500,0.9504,0,7500000,24150.1107,0.9840
0,4.0000,0.1000,30,2000,25000,500,0.9486,0,7500000,24284.3623,0.9807
0,4.0000,0.1000,30,2000,25000,500,0.9499,0,7500000,24489.4682,0.9824
0,4.0000,0.1000,30,2000,25000,500,0.9493,0,7500000,24381.4473,0.9828
0,4.0000,0.1000,30,2000,25000,500,0.9490,0,7500000,24414.8627,0.9812
