flips,sat,earlyRestarts,entropy,lastRunEntropy,totalFlips,flipsPerSecond,ratio,clauses,variables,tries,cb
17243,1,0,0.9325,0.9325,17243,56586.5404,4.0000,2000,500,1,2.0000
5346,1,0,0.9085,0.9085,5346,124228.4294,4.0000,2000,500,1,2.0000
4805,1,0,0.9358,0.9358,4805,134745.5163,4.0000,2000,500,1,2.0000
4736,1,0,0.9173,0.9173,4736,135259.7778,4.0000,2000,500,1,2.0000
18739,1,0,0.9365,0.9394,68739,31665.1451,4.0000,2000,500,3,2.0000
20112,1,0,0.9483,0.9483,20112,52419.1991,4.0000,2000,500,1,2.0000
22654,1,0,0.9560,0.9559,322654,25280.2215,4.0000,2000,500,13,2.0000
7616,1,0,0.9197,0.9197,7616,95580.1749,4.0000,2000,500,1,2.0000
12411,1,0,0.9203,0.9203,12411,70697.7255,4.0000,2000,500,1,2.0000
3107,1,0,0.9188,0.9188,3107,187405.2000,4.0000,2000,500,1,2.0000
10320,1,0,0.9456,0.9456,10320,78384.9729,4.0000,2000,500,1,2.0000
6974,1,0,0.9241,0.9241,6974,103727.0292,4.0000,2000,500,1,2.0000
2902,1,0,0.9357,0.9299,27902,43591.1688,4.0000,2000,500,2,2.0000
12177,1,0,0.9493,0.9304,62177,32603.2548,4.0000,2000,500,3,2.0000
5015,1,0,0.9021,0.9021,5015,128847.0119,4.0000,2000,500,1,2.0000
15502,1,0,0.9563,0.9563,15502,61378.5874,4.0000,2000,500,1,2.0000
6741,1,0,0.9218,0.9218,6741,104492.9233,4.0000,2000,500,1,2.0000
5116,1,0,0.9348,0.9348,5116,129452.9515,4.0000,2000,500,1,2.0000
20799,1,0,0.9450,0.9476,45799,36193.8076,4.0000,2000,500,2,2.0000
8872,1,0,0.9374,0.9374,8872,85248.0556,4.0000,2000,500,1,2.0000
17960,1,0,0.9367,0.9319,67960,31855.9298,4.0000,2000,500,3,2.0000
2385,1,0,0.8912,0.8912,2385,224721.5267,4.0000,2000,500,1,2.0000
17370,1,0,0.9478,0.9499,117370,28243.8195,4.0000,2000,500,5,2.0000
18100,1,0,0.9522,0.9446,68100,32054.7332,4.0000,2000,500,3,2.0000
9860,1,0,0.9415,0.9415,9860,79840.2454,4.0000,2000,500,1,2.0000
7025,1,0,0.9307,0.9307,7025,101522.6484,4.0000,2000,500,1,2.0000
5422,1,0,0.9230,0.9230,5422,122749.6460,4.0000,2000,500,1,2.0000
22219,1,0,0.9558,0.9527,172219,26982.8224,4.0000,2000,500,7,2.0000
12311,1,0,0.9163,0.9163,12311,70216.1788,4.0000,2000,500,1,2.0000
4005,1,0,0.9151,0.9151,4005,153363.5476,4.0000,2000,500,1,2.0000
3171,1,0,0.9207,0.9207,3171,181988.0418,4.0000,2000,500,1,2.0000
12802,1,0,0.9520,0.9468,112802,28513.7747,4.0000,2000,500,5,2.0000
2852,1,0,0.9065,0.9065,2852,198931.8672,4.0000,2000,500,1,2.0000
4182,1,0,0.9486,0.9338,54182,33681.2349,4.0000,2000,500,3,2.0000
6089,1,0,0.9291,0.9291,6089,112821.7899,4.0000,2000,500,1,2.0000
6509,1,0,0.9350,0.9350,6509,107281.9912,4.0000,2000,500,1,2.0000
6421,1,0,0.9345,0.9345,6421,108707.1176,4.0000,2000,500,1,2.0000
6662,1,0,0.9283,0.9283,6662,105171.5834,4.0000,2000,500,1,2.0000
5828,1,0,0.9387,0.9387,5828,115981.1094,4.0000,2000,500,1,2.0000
10089,1,0,0.9326,0.9326,10089,79552.5313,4.0000,2000,500,1,2.0000
7969,1,0,0.9458,0.9458,7969,91858.9669,4.0000,2000,500,1,2.0000
8549,1,0,0.9318,0.9318,8549,89265.0800,4.0000,2000,500,1,2.0000
17938,1,0,0.9572,0.9572,17938,55901.1919,4.0000,2000,500,1,2.0000
20582,1,0,0.9539,0.9545,45582,36227.2786,4.0000,2000,500,2,2.0000
8923,1,0,0.9485,0.9428,33923,40647.4312,4.0000,2000,500,2,2.0000
14368,1,0,0.8995,0.8995,14368,62356.7735,4.0000,2000,500,1,2.0000
2270,1,0,0.9141,0.9141,2270,235189.7807,4.0000,2000,500,1,2.0000
2184,1,0,0.9171,0.9171,2184,241428.4382,4.0000,2000,500,1,2.0000
22032,1,0,0.9409,0.9409,22032,49181.2796,4.0000,2000,500,1,2.0000
12487,1,0,0.9549,0.9431,137487,27545.8048,4.0000,2000,500,6,2.0000
15740,1,0,0.9481,0.9481,15740,59629.5347,4.0000,2000,500,1,2.0000
15469,1,0,0.9596,0.9587,190469,26255.6001,4.0000,2000,500,8,2.0000
12659,1,0,0.9454,0.9418,37659,38520.6026,4.0000,2000,500,2,2.0000
16041,1,0,0.9565,0.9512,91041,29302.8150,4.0000,2000,500,4,2.0000
5354,1,0,0.9286,0.9286,5354,124373.1016,4.0000,2000,500,1,2.0000
4884,1,0,0.8924,0.8924,4884,133323.5980,4.0000,2000,500,1,2.0000
24611,1,0,0.9421,0.9285,49611,35415.7379,4.0000,2000,500,2,2.0000
4034,1,0,0.9296,0.9296,4034,154217.1551,4.0000,2000,500,1,2.0000
4188,1,0,0.9366,0.9366,4188,150125.7494,4.0000,2000,500,1,2.0000
9413,1,0,0.9358,0.9358,9413,83982.4281,4.0000,2000,500,1,2.0000
13638,1,0,0.9427,0.9461,63638,32154.6766,4.0000,2000,500,3,2.0000
15549,1,0,0.9543,0.9541,90549,29086.0684,4.0000,2000,500,4,2.0000
20479,1,0,0.9534,0.9498,45479,35787.0127,4.0000,2000,500,2,2.0000
4442,1,0,0.9207,0.8919,29442,41844.9877,4.0000,2000,500,2,2.0000
19302,1,0,0.9342,0.8949,119302,27758.1224,4.0000,2000,500,5,2.0000
