cb,ratio,flips,flipsPerSecond,lastRunEntropy,totalFlips,earlyRestarts,minEntropy,tries,entropy,variables,sat,clauses
2.3800,4.1000,9453,23902.3656,0.9193,134453,0,0.4000,6,1.2066,500,1,2050
2.3800,4.1000,3722,29919.4021,0.8914,53722,0,0.5000,3,1.1144,500,1,2050
2.3800,4.1000,22804,21778.5421,0.9384,372804,0,0.5000,15,1.2289,500,1,2050
2.3800,4.1000,15712,52139.6033,0.9230,15712,0,0.6500,1,0.9230,500,1,2050
2.3800,4.1000,13652,56574.4971,0.9173,13652,0,0.6000,1,0.9173,500,1,2050
2.3800,4.1000,24224,41461.4208,0.9309,24224,0,0.4500,1,0.9309,500,1,2050
2.3800,4.1000,12629,60497.2272,0.7902,12629,0,0.6500,1,0.7902,500,1,2050
2.3800,4.1000,25000,21567.5064,1.2159,4500000,0,0.4000,18,1.0739,500,0,2050
2.3800,4.1000,9680,22613.6795,0.9223,209680,0,0.6000,9,1.1334,500,1,2050
2.3800,4.1000,23277,42179.1724,0.9341,23277,0,0.6500,1,0.9341,500,1,2050
2.3800,4.1000,14557,33169.0652,0.9407,39557,0,0.5500,2,0.9942,500,1,2050
2.3800,4.1000,13170,57705.5217,0.9180,13170,0,0.4000,1,0.9180,500,1,2050
2.3800,4.1000,15623,32431.6695,0.9129,40623,0,0.4500,2,1.0655,500,1,2050
2.3800,4.1000,15057,53124.6041,0.9011,15057,0,0.4000,1,0.9011,500,1,2050
2.3800,4.1000,21616,43879.0024,0.9517,21616,0,0.5000,1,0.9517,500,1,2050
2.3800,4.1000,13796,33502.8784,0.9289,38796,0,0.4000,2,1.0908,500,1,2050
2.3800,4.1000,6575,89324.8984,0.8834,6575,0,0.5500,1,0.8834,500,1,2050
2.3800,4.1000,9336,72955.0965,0.9220,9336,0,0.4500,1,0.9220,500,1,2050
2.3800,4.1000,9194,26206.3136,0.9175,84194,0,0.4000,4,1.1856,500,1,2050
2.3800,4.1000,7420,84709.9245,0.9020,7420,0,0.5500,1,0.9020,500,1,2050
2.3800,4.1000,15919,52141.7870,0.9093,15919,0,0.5000,1,0.9093,500,1,2050
2.3800,4.1000,8780,75185.1664,0.9032,8780,0,0.6500,1,0.9032,500,1,2050
2.3800,4.1000,18660,47309.1747,0.8929,18660,0,0.6000,1,0.8929,500,1,2050
2.3800,4.1000,25000,21365.3402,1.1800,4500000,0,0.5500,18,1.1509,500,0,2050
2.3800,4.1000,3752,144068.9323,0.8643,3752,0,0.4000,1,0.8643,500,1,2050
2.3800,4.1000,6732,23461.2209,0.9217,156732,0,0.6500,7,1.1705,500,1,2050
2.3800,4.1000,17559,31374.3557,0.9297,42559,0,0.5500,2,1.1181,500,1,2050
2.3800,4.1000,11204,21892.1518,0.9150,311204,0,0.4500,13,1.1584,500,1,2050
2.3800,4.1000,22010,41396.5631,0.9180,22010,0,0.6500,1,0.9180,500,1,2050
2.3800,4.1000,3108,160836.7476,0.9008,3108,0,0.4000,1,0.9008,500,1,2050
2.3800,4.1000,25000,21298.9733,1.3046,4500000,0,0.4500,18,1.1820,500,0,2050
2.3800,4.1000,25000,21349.9353,1.1361,4500000,0,0.5500,18,1.1443,500,0,2050
2.3800,4.1000,19171,46364.8700,0.9375,19171,0,0.5500,1,0.9375,500,1,2050
2.3800,4.1000,12090,61526.9847,0.9221,12090,0,0.4000,1,0.9221,500,1,2050
2.3800,4.1000,11692,23116.1226,0.9276,161692,0,0.4500,7,1.2092,500,1,2050
2.3800,4.1000,14441,54693.1196,0.8439,14441,0,0.4000,1,0.8439,500,1,2050
2.3800,4.1000,21826,42942.5600,0.9368,21826,0,0.4500,1,0.9368,500,1,2050
2.3800,4.1000,9639,69923.8064,0.9186,9639,0,0.6500,1,0.9186,500,1,2050
2.3800,4.1000,18821,24611.3021,0.9224,118821,0,0.6500,5,1.1904,500,1,2050
2.3800,4.1000,13716,56431.4643,0.9230,13716,0,0.5500,1,0.9230,500,1,2050
2.3800,4.1000,9671,71217.1819,0.9218,9671,0,0.6000,1,0.9218,500,1,2050
2.3800,4.1000,24792,23142.8403,0.9113,174792,0,0.5500,7,1.1742,500,1,2050
2.3800,4.1000,7688,82785.5648,0.8813,7688,0,0.6000,1,0.8813,500,1,2050
