totalFlips,lastRunEntropy,tries,earlyRestarts,variables,flipsPerSecond,entropy,flips,cb,minEntropy,ratio,sat,clauses
3846,0.9194,1,0,500,158639.6297,0.9194,3846,2.3800,0.0000,4.2000,1,2100
406248,0.8933,17,0,500,24655.8662,1.2058,6248,2.3800,0.0000,4.2000,1,2100
48236,0.9330,2,0,500,35466.9877,1.1197,23236,2.3800,0.0000,4.2000,1,2100
274330,0.9218,11,0,500,25540.2608,1.1180,24330,2.3800,0.0000,4.2000,1,2100
5000000,1.2464,20,0,500,24276.1961,1.1598,25000,2.3800,0.0000,4.2000,0,2100
32905,0.9280,2,0,500,40957.6998,1.0816,7905,2.3800,0.0000,4.2000,1,2100
245863,0.9500,10,0,500,25500.0979,1.2220,20863,2.3800,0.0000,4.2000,1,2100
16198,0.9126,1,0,500,57964.9890,0.9126,16198,2.3800,0.0000,4.2000,1,2100
174609,0.9219,7,0,500,26650.1728,1.2004,24609,2.3800,0.0000,4.2000,1,2100
19600,0.9285,1,0,500,52964.8164,0.9285,19600,2.3800,0.0000,4.2000,1,2100
5000000,1.1491,20,0,500,24575.0474,1.1740,25000,2.3800,0.0000,4.2000,0,2100
10928,0.9398,1,0,500,75355.0675,0.9398,10928,2.3800,0.0000,4.2000,1,2100
5000000,1.1130,20,0,500,24557.7139,1.1621,25000,2.3800,0.0000,4.2000,0,2100
5000000,1.2389,20,0,500,24557.5667,1.1306,25000,2.3800,0.0000,4.2000,0,2100
5000000,1.1517,20,0,500,24393.1867,1.1306,25000,2.3800,0.0000,4.2000,0,2100
12395,0.9243,1,0,500,68130.9355,0.9243,12395,2.3800,0.0000,4.2000,1,2100
244136,0.9085,10,0,500,25675.1152,1.1034,19136,2.3800,0.0000,4.2000,1,2100
5000000,1.1674,20,0,500,24310.7363,1.1372,25000,2.3800,0.0000,4.2000,0,2100
5000000,1.1795,20,0,500,24321.6539,1.2196,25000,2.3800,0.0000,4.2000,0,2100
107673,0.9159,5,0,500,28324.8449,1.2098,7673,2.3800,0.0000,4.2000,1,2100
