variables,cb,totalFlips,entropy,minEntropy,clauses,earlyRestarts,ratio,lastRunEntropy,flips,flipsPerSecond,tries,sat
500,2.3800,9706,0.8979,0.0000,2050,0,4.1000,0.8979,9706,79623.3645,1,1
500,2.3800,5000000,0.8808,0.0000,2050,0,4.1000,0.9168,25000,24448.4280,20,0
500,2.3800,18340,0.9374,0.0000,2050,0,4.1000,0.9374,18340,54384.7987,1,1
500,2.3800,70185,0.9355,0.0000,2050,0,4.1000,0.9278,20185,31546.4941,3,1
500,2.3800,62571,0.8942,0.0000,2050,0,4.1000,0.9324,12571,32236.6389,3,1
500,2.3800,61068,0.9276,0.0000,2050,0,4.1000,0.9255,11068,32632.0212,3,1
500,2.3800,92804,0.9319,0.0000,2050,0,4.1000,0.9330,17804,29172.2062,4,1
500,2.3800,7921,0.9105,0.0000,2050,0,4.1000,0.9105,7921,93902.1581,1,1
500,2.3800,4351,0.8866,0.0000,2050,0,4.1000,0.8866,4351,136074.6596,1,1
500,2.3800,22025,0.9156,0.0000,2050,0,4.1000,0.9156,22025,49142.5213,1,1
500,2.3800,221706,0.9204,0.0000,2050,0,4.1000,0.9328,21706,25667.7199,9,1
500,2.3800,12858,0.9227,0.0000,2050,0,4.1000,0.9227,12858,66328.0231,1,1
500,2.3800,8453,0.9024,0.0000,2050,0,4.1000,0.9024,8453,88012.1511,1,1
500,2.3800,12917,0.9345,0.0000,2050,0,4.1000,0.9345,12917,66990.2649,1,1
500,2.3800,11748,0.9262,0.0000,2050,0,4.1000,0.9262,11748,70620.3731,1,1
500,2.3800,5000000,0.8881,0.0000,2050,0,4.1000,0.9401,25000,24294.9724,20,0
500,2.3800,9529,0.9199,0.0000,2050,0,4.1000,0.9199,9529,80160.5605,1,1
500,2.3800,7643,0.8884,0.0000,2050,0,4.1000,0.8884,7643,94046.5535,1,1
500,2.3800,13290,0.9292,0.0000,2050,0,4.1000,0.9292,13290,64084.6957,1,1
500,2.3800,8349,0.9161,0.0000,2050,0,4.1000,0.9161,8349,87892.0758,1,1
500,2.3800,15125,0.9127,0.0000,2050,0,4.1000,0.9127,15125,60799.6636,1,1
500,2.3800,69241,0.9303,0.0000,2050,0,4.1000,0.9315,19241,30502.8674,3,1
