sat,clauses,flips,variables,earlyRestarts,tries,flipsPerSecond,entropy,lastRunEntropy,totalFlips,ratio,minEntropy,cb
0,2100,25000,500,0,20,24261.1865,0.9294,0.9788,5000000,4.2000,0.0000,1.1000
0,2100,25000,500,0,20,24173.3777,0.9266,0.9780,5000000,4.2000,0.0000,1.5000
1,2100,16432,500,0,3,32001.6212,0.9428,0.9424,66432,4.2000,0.0000,2.1000
1,2100,18219,500,0,5,28315.0933,0.8706,0.9091,118219,4.2000,0.0000,3.2000
0,2100,25000,500,0,20,24115.8876,0.9326,0.9814,5000000,4.2000,0.0000,1.1000
0,2100,25000,500,0,20,24201.7448,0.9289,0.9772,5000000,4.2000,0.0000,1.2000
0,2100,25000,500,0,20,24061.6568,0.9269,0.9760,5000000,4.2000,0.0000,0.8000
0,2100,25000,500,0,20,24137.6439,0.9269,0.9754,5000000,4.2000,0.0000,1.3000
0,2100,25000,500,0,20,24064.4565,0.9305,0.9795,5000000,4.2000,0.0000,1.0000
1,2100,14108,500,0,10,26138.4076,0.7002,0.6660,239108,4.2000,0.0000,4.8000
1,2100,18047,500,0,3,31485.0481,0.9108,0.9284,68047,4.2000,0.0000,2.6000
0,2100,25000,500,0,20,24728.8630,0.7948,0.8962,5000000,4.2000,0.0000,3.6000
0,2100,25000,500,0,20,24210.2059,0.9350,0.9846,5000000,4.2000,0.0000,0.1000
0,2100,25000,500,0,20,24105.4675,0.9336,0.9827,5000000,4.2000,0.0000,0.2000
0,2100,25000,500,0,20,24570.0316,0.8418,0.8314,5000000,4.2000,0.0000,2.6000
1,2100,15870,500,0,2,37637.5848,0.9403,0.9312,40870,4.2000,0.0000,2.3000
1,2100,21861,500,0,6,27662.6252,0.7591,0.7769,146861,4.2000,0.0000,4.4000
0,2100,25000,500,0,20,24944.8642,0.7355,0.7265,5000000,4.2000,0.0000,4.7000
1,2100,8059,500,0,1,93241.8547,0.8858,0.8858,8059,4.2000,0.0000,2.7000
1,2100,4652,500,0,7,27734.0741,0.7548,0.8284,154652,4.2000,0.0000,4.6000
0,2100,25000,500,0,20,24295.8463,0.9349,0.9840,5000000,4.2000,0.0000,0.1000
0,2100,25000,500,0,20,24384.3330,0.9298,0.9779,5000000,4.2000,0.0000,1.3000
0,2100,25000,500,0,20,24213.6819,0.9335,0.9825,5000000,4.2000,0.0000,0.0000
0,2100,25000,500,0,20,24553.5457,0.8333,0.8673,5000000,4.2000,0.0000,2.9000
0,2100,25000,500,0,20,24547.8128,0.9029,0.9650,5000000,4.2000,0.0000,2.2000
0,2100,25000,500,0,20,24188.5065,0.9331,0.9820,5000000,4.2000,0.0000,0.2000
1,2100,19327,500,0,1,54299.5383,0.8896,0.8896,19327,4.2000,0.0000,2.9000
