sat,earlyRestarts,clauses,cb,flipsPerSecond,flips,ratio,tries,totalFlips,entropy,variables
0,0,4000,0.1000,21635.9763,50000,4.0000,27,13500000,9.1455,1000
0,0,4000,0.1000,21728.8777,50000,4.0000,27,13500000,9.1592,1000
0,0,4000,0.1000,21652.8763,50000,4.0000,26,13000000,9.1210,1000
0,0,4000,0.1000,21742.7496,50000,4.0000,27,13500000,9.1432,1000
0,0,4000,0.1000,21877.6470,50000,4.0000,27,13500000,9.1642,1000
0,0,4000,0.1000,21773.6646,50000,4.0000,27,13500000,9.1503,1000
0,0,4000,0.1000,21777.2466,50000,4.0000,27,13500000,9.1390,1000
0,0,4000,0.1000,21758.9999,50000,4.0000,27,13500000,9.1515,1000
0,0,4000,0.1000,21794.3562,50000,4.0000,27,13500000,9.1308,1000
0,0,4000,0.1000,21683.5269,50000,4.0000,27,13500000,9.1217,1000
0,0,4000,0.1000,21743.5185,50000,4.0000,27,13500000,9.1450,1000
0,0,4000,0.1000,21742.0133,50000,4.0000,27,13500000,9.1414,1000
0,0,4000,0.1000,21799.2731,50000,4.0000,27,13500000,9.1689,1000
0,0,4000,0.1000,21546.3216,50000,4.0000,26,13000000,9.1203,1000
0,0,4000,0.1000,21613.9824,50000,4.0000,26,13000000,9.1204,1000
0,0,4000,0.1000,21835.4737,50000,4.0000,27,13500000,9.1568,1000
0,0,4000,0.1000,21831.3559,50000,4.0000,27,13500000,9.1500,1000
0,0,4000,0.1000,21836.2719,50000,4.0000,27,13500000,9.1466,1000
0,0,4000,0.1000,21835.0194,50000,4.0000,27,13500000,9.1479,1000
0,0,4000,0.1000,21738.9479,50000,4.0000,27,13500000,9.1540,1000
0,0,4000,0.1000,21760.4059,50000,4.0000,27,13500000,9.1511,1000
0,0,4000,0.1000,21682.4512,50000,4.0000,27,13500000,9.1385,1000
0,0,4000,0.1000,21747.0094,50000,4.0000,27,13500000,9.1462,1000
0,0,4000,0.1000,21607.0073,50000,4.0000,26,13000000,9.1048,1000
0,0,4000,0.1000,21771.2668,50000,4.0000,27,13500000,9.1563,1000
0,0,4000,0.1000,21646.8316,50000,4.0000,27,13500000,9.1320,1000
0,0,4000,0.1000,21816.8486,50000,4.0000,27,13500000,9.1591,1000
0,0,4000,0.1000,21835.2794,50000,4.0000,27,13500000,9.1494,1000
0,0,4000,0.1000,21743.1801,50000,4.0000,27,13500000,9.1440,1000
0,0,4000,0.1000,21945.8640,50000,4.0000,27,13500000,9.1719,1000
0,0,4000,0.1000,21637.8644,50000,4.0000,27,13500000,9.1187,1000
0,0,4000,0.1000,21694.2847,50000,4.0000,27,13500000,9.1407,1000
0,0,4000,0.1000,21822.4417,50000,4.0000,27,13500000,9.1445,1000
