entropy,totalFlips,cb,flips,variables,ratio,tries,flipsPerSecond,clauses,earlyRestarts,sat
9.1673,13000000,0.1000,50000,1000,4.2000,26,21075.7536,4200,0,0
9.1525,13000000,0.1000,50000,1000,4.2000,26,20918.2207,4200,0,0
9.1361,13000000,0.1000,50000,1000,4.2000,26,20841.6286,4200,0,0
9.1709,13000000,0.1000,50000,1000,4.2000,26,21204.7646,4200,0,0
9.1093,13000000,0.1000,50000,1000,4.2000,26,20890.3046,4200,0,0
9.1504,13000000,0.1000,50000,1000,4.2000,26,21074.2206,4200,0,0
9.1627,13000000,0.1000,50000,1000,4.2000,26,21202.1983,4200,0,0
9.1572,13000000,0.1000,50000,1000,4.2000,26,21191.7113,4200,0,0
9.1624,13000000,0.1000,50000,1000,4.2000,26,21279.9230,4200,0,0
9.1471,13000000,0.1000,50000,1000,4.2000,26,21135.0892,4200,0,0
9.1788,13000000,0.1000,50000,1000,4.2000,26,21332.7446,4200,0,0
9.1425,13000000,0.1000,50000,1000,4.2000,26,21115.3364,4200,0,0
9.1781,13000000,0.1000,50000,1000,4.2000,26,21257.9473,4200,0,0
9.1663,13000000,0.1000,50000,1000,4.2000,26,21194.2396,4200,0,0
9.1618,13000000,0.1000,50000,1000,4.2000,26,21199.2797,4200,0,0
9.1607,13000000,0.1000,50000,1000,4.2000,26,21083.4448,4200,0,0
9.1552,13000000,0.1000,50000,1000,4.2000,26,21043.6447,4200,0,0
9.1695,13000000,0.1000,50000,1000,4.2000,26,21172.1622,4200,0,0
9.1370,13000000,0.1000,50000,1000,4.2000,26,20904.1689,4200,0,0
9.1620,13000000,0.1000,50000,1000,4.2000,26,21310.2650,4200,0,0
9.1565,13000000,0.1000,50000,1000,4.2000,26,21216.2814,4200,0,0
9.1392,13000000,0.1000,50000,1000,4.2000,26,21137.4076,4200,0,0
9.1309,13000000,0.1000,50000,1000,4.2000,26,21080.5246,4200,0,0
9.1451,13000000,0.1000,50000,1000,4.2000,26,21208.8633,4200,0,0
9.1571,13000000,0.1000,50000,1000,4.2000,26,21309.9256,4200,0,0
9.1464,13000000,0.1000,50000,1000,4.2000,26,21203.2185,4200,0,0
9.1711,13000000,0.1000,50000,1000,4.2000,26,21355.0868,4200,0,0
9.1424,13000000,0.1000,50000,1000,4.2000,26,21188.2267,4200,0,0
9.1695,13000000,0.1000,50000,1000,4.2000,26,21330.2427,4200,0,0
9.1338,13000000,0.1000,50000,1000,4.2000,26,20968.9839,4200,0,0
9.1468,13000000,0.1000,50000,1000,4.2000,26,21167.6364,4200,0,0
9.1730,13000000,0.1000,50000,1000,4.2000,26,21205.9690,4200,0,0
9.1429,13000000,0.1000,50000,1000,4.2000,26,21143.0144,4200,0,0
9.1453,13000000,0.1000,50000,1000,4.2000,26,21133.6220,4200,0,0
9.1454,13000000,0.1000,50000,1000,4.2000,26,21078.2855,4200,0,0
